"","country","year","column","cases"
"1","AD",2000,"m014",0
"2","AD",2000,"m1524",0
"3","AD",2000,"m2534",1
"4","AD",2000,"m3544",0
"5","AD",2000,"m4554",0
"6","AD",2000,"m5564",0
"7","AD",2000,"m65",0
"8","AE",2000,"m014",2
"9","AE",2000,"m1524",4
"10","AE",2000,"m2534",4
"11","AE",2000,"m3544",6
"12","AE",2000,"m4554",5
"13","AE",2000,"m5564",12
"14","AE",2000,"m65",10
"15","AE",2000,"f014",3
"16","AE",2000,"f1524",16
"17","AE",2000,"f2534",1
"18","AE",2000,"f3544",3
"19","AE",2000,"f4554",0
"20","AE",2000,"f5564",0
"21","AE",2000,"f65",4
"22","AF",2000,"m014",52
"23","AF",2000,"m1524",228
"24","AF",2000,"m2534",183
"25","AF",2000,"m3544",149
"26","AF",2000,"m4554",129
"27","AF",2000,"m5564",94
"28","AF",2000,"m65",80
"29","AF",2000,"f014",93
"30","AF",2000,"f1524",414
"31","AF",2000,"f2534",565
"32","AF",2000,"f3544",339
"33","AF",2000,"f4554",205
"34","AF",2000,"f5564",99
"35","AF",2000,"f65",36
"36","AG",2000,"m014",0
"37","AG",2000,"m1524",0
"38","AG",2000,"m2534",0
"39","AG",2000,"m3544",0
"40","AG",2000,"m4554",0
"41","AG",2000,"m5564",0
"42","AG",2000,"m65",1
"43","AG",2000,"f014",1
"44","AG",2000,"f1524",1
"45","AG",2000,"f2534",1
"46","AG",2000,"f3544",0
"47","AG",2000,"f4554",0
"48","AG",2000,"f5564",0
"49","AG",2000,"f65",0
"50","AL",2000,"m014",2
"51","AL",2000,"m1524",19
"52","AL",2000,"m2534",21
"53","AL",2000,"m3544",14
"54","AL",2000,"m4554",24
"55","AL",2000,"m5564",19
"56","AL",2000,"m65",16
"57","AL",2000,"f014",3
"58","AL",2000,"f1524",11
"59","AL",2000,"f2534",10
"60","AL",2000,"f3544",8
"61","AL",2000,"f4554",8
"62","AL",2000,"f5564",5
"63","AL",2000,"f65",11
"64","AM",2000,"m014",2
"65","AM",2000,"m1524",152
"66","AM",2000,"m2534",130
"67","AM",2000,"m3544",131
"68","AM",2000,"m4554",63
"69","AM",2000,"m5564",26
"70","AM",2000,"m65",21
"71","AM",2000,"f014",1
"72","AM",2000,"f1524",24
"73","AM",2000,"f2534",27
"74","AM",2000,"f3544",24
"75","AM",2000,"f4554",8
"76","AM",2000,"f5564",8
"77","AM",2000,"f65",4
"78","AN",2000,"m014",0
"79","AN",2000,"m1524",0
"80","AN",2000,"m2534",1
"81","AN",2000,"m3544",2
"82","AN",2000,"m4554",0
"83","AN",2000,"m5564",0
"84","AN",2000,"m65",0
"85","AN",2000,"f014",0
"86","AN",2000,"f1524",0
"87","AN",2000,"f2534",1
"88","AN",2000,"f3544",0
"89","AN",2000,"f4554",0
"90","AN",2000,"f5564",1
"91","AN",2000,"f65",0
"92","AO",2000,"m014",186
"93","AO",2000,"m1524",999
"94","AO",2000,"m2534",1003
"95","AO",2000,"m3544",912
"96","AO",2000,"m4554",482
"97","AO",2000,"m5564",312
"98","AO",2000,"m65",194
"99","AO",2000,"f014",247
"100","AO",2000,"f1524",1142
"101","AO",2000,"f2534",1091
"102","AO",2000,"f3544",844
"103","AO",2000,"f4554",417
"104","AO",2000,"f5564",200
"105","AO",2000,"f65",120
"106","AR",2000,"m014",97
"107","AR",2000,"m1524",278
"108","AR",2000,"m2534",594
"109","AR",2000,"m3544",402
"110","AR",2000,"m4554",419
"111","AR",2000,"m5564",368
"112","AR",2000,"m65",330
"113","AR",2000,"f014",121
"114","AR",2000,"f1524",544
"115","AR",2000,"f2534",479
"116","AR",2000,"f3544",262
"117","AR",2000,"f4554",230
"118","AR",2000,"f5564",179
"119","AR",2000,"f65",216
"120","AS",2000,"m4554",1
"121","AS",2000,"m5564",1
"122","AS",2000,"f4554",1
"123","AT",2000,"m014",1
"124","AT",2000,"m1524",17
"125","AT",2000,"m2534",30
"126","AT",2000,"m3544",59
"127","AT",2000,"m4554",42
"128","AT",2000,"m5564",23
"129","AT",2000,"m65",41
"130","AT",2000,"f014",1
"131","AT",2000,"f1524",11
"132","AT",2000,"f2534",22
"133","AT",2000,"f3544",12
"134","AT",2000,"f4554",11
"135","AT",2000,"f5564",6
"136","AT",2000,"f65",22
"137","AU",2000,"m014",3
"138","AU",2000,"m1524",16
"139","AU",2000,"m2534",35
"140","AU",2000,"m3544",25
"141","AU",2000,"m4554",24
"142","AU",2000,"m5564",19
"143","AU",2000,"m65",49
"144","AU",2000,"f014",0
"145","AU",2000,"f1524",15
"146","AU",2000,"f2534",19
"147","AU",2000,"f3544",12
"148","AU",2000,"f4554",15
"149","AU",2000,"f5564",5
"150","AU",2000,"f65",14
"151","AZ",2000,"m014",0
"152","AZ",2000,"m1524",9
"153","AZ",2000,"m2534",24
"154","AZ",2000,"m3544",33
"155","AZ",2000,"m4554",42
"156","AZ",2000,"m5564",30
"157","AZ",2000,"m65",0
"158","AZ",2000,"f014",0
"159","AZ",2000,"f1524",3
"160","AZ",2000,"f2534",3
"161","AZ",2000,"f3544",6
"162","AZ",2000,"f4554",3
"163","AZ",2000,"f5564",0
"164","AZ",2000,"f65",0
"165","BA",2000,"m014",4
"166","BA",2000,"m1524",56
"167","BA",2000,"m2534",82
"168","BA",2000,"m3544",99
"169","BA",2000,"m4554",66
"170","BA",2000,"m5564",58
"171","BA",2000,"m65",77
"172","BA",2000,"f014",4
"173","BA",2000,"f1524",30
"174","BA",2000,"f2534",46
"175","BA",2000,"f3544",29
"176","BA",2000,"f4554",29
"177","BA",2000,"f5564",48
"178","BA",2000,"f65",124
"179","BB",2000,"m014",0
"180","BB",2000,"m1524",0
"181","BB",2000,"m2534",0
"182","BB",2000,"m3544",2
"183","BB",2000,"m4554",0
"184","BB",2000,"m5564",0
"185","BB",2000,"m65",0
"186","BB",2000,"f014",0
"187","BB",2000,"f1524",0
"188","BB",2000,"f2534",1
"189","BB",2000,"f3544",0
"190","BB",2000,"f4554",0
"191","BB",2000,"f5564",0
"192","BB",2000,"f65",0
"193","BD",2000,"m014",256
"194","BD",2000,"m1524",3640
"195","BD",2000,"m2534",5643
"196","BD",2000,"m3544",5750
"197","BD",2000,"m4554",4718
"198","BD",2000,"m5564",3667
"199","BD",2000,"m65",2837
"200","BD",2000,"f014",495
"201","BD",2000,"f1524",3029
"202","BD",2000,"f2534",3238
"203","BD",2000,"f3544",2247
"204","BD",2000,"f4554",1315
"205","BD",2000,"f5564",778
"206","BD",2000,"f65",370
"207","BE",2000,"m014",3
"208","BE",2000,"m1524",20
"209","BE",2000,"m2534",57
"210","BE",2000,"m3544",39
"211","BE",2000,"m4554",55
"212","BE",2000,"m5564",32
"213","BE",2000,"m65",56
"214","BE",2000,"f014",6
"215","BE",2000,"f1524",15
"216","BE",2000,"f2534",15
"217","BE",2000,"f3544",19
"218","BE",2000,"f4554",4
"219","BE",2000,"f5564",13
"220","BE",2000,"f65",27
"221","BF",2000,"m014",12
"222","BF",2000,"m1524",91
"223","BF",2000,"m2534",274
"224","BF",2000,"m3544",252
"225","BF",2000,"m4554",133
"226","BF",2000,"m5564",68
"227","BF",2000,"m65",65
"228","BF",2000,"f014",7
"229","BF",2000,"f1524",59
"230","BF",2000,"f2534",128
"231","BF",2000,"f3544",101
"232","BF",2000,"f4554",45
"233","BF",2000,"f5564",38
"234","BF",2000,"f65",14
"235","BG",2000,"m014",0
"236","BG",2000,"m1524",13
"237","BG",2000,"m2534",16
"238","BG",2000,"m3544",20
"239","BG",2000,"m4554",3
"240","BG",2000,"m5564",9
"241","BG",2000,"m65",10
"242","BG",2000,"f014",0
"243","BG",2000,"f1524",11
"244","BG",2000,"f2534",14
"245","BG",2000,"f3544",7
"246","BG",2000,"f4554",3
"247","BG",2000,"f5564",4
"248","BG",2000,"f65",6
"249","BH",2000,"m014",0
"250","BH",2000,"m1524",0
"251","BH",2000,"m2534",3
"252","BH",2000,"m3544",2
"253","BH",2000,"m4554",5
"254","BH",2000,"m5564",3
"255","BH",2000,"m65",4
"256","BH",2000,"f014",0
"257","BH",2000,"f1524",1
"258","BH",2000,"f2534",2
"259","BH",2000,"f3544",0
"260","BH",2000,"f4554",1
"261","BH",2000,"f5564",1
"262","BH",2000,"f65",1
"263","BJ",2000,"m014",19
"264","BJ",2000,"m1524",277
"265","BJ",2000,"m2534",428
"266","BJ",2000,"m3544",327
"267","BJ",2000,"m4554",213
"268","BJ",2000,"m5564",103
"269","BJ",2000,"m65",74
"270","BJ",2000,"f014",36
"271","BJ",2000,"f1524",239
"272","BJ",2000,"f2534",275
"273","BJ",2000,"f3544",149
"274","BJ",2000,"f4554",76
"275","BJ",2000,"f5564",45
"276","BJ",2000,"f65",25
"277","BN",2000,"m014",0
"278","BN",2000,"m1524",6
"279","BN",2000,"m2534",4
"280","BN",2000,"m3544",15
"281","BN",2000,"m4554",5
"282","BN",2000,"m5564",7
"283","BN",2000,"m65",15
"284","BN",2000,"f014",0
"285","BN",2000,"f1524",4
"286","BN",2000,"f2534",6
"287","BN",2000,"f3544",9
"288","BN",2000,"f4554",6
"289","BN",2000,"f5564",3
"290","BN",2000,"f65",4
"291","BO",2000,"m014",166
"292","BO",2000,"m1524",1182
"293","BO",2000,"m2534",797
"294","BO",2000,"m3544",518
"295","BO",2000,"m4554",466
"296","BO",2000,"m5564",340
"297","BO",2000,"m65",366
"298","BO",2000,"f014",191
"299","BO",2000,"f1524",831
"300","BO",2000,"f2534",588
"301","BO",2000,"f3544",334
"302","BO",2000,"f4554",254
"303","BO",2000,"f5564",192
"304","BO",2000,"f65",233
"305","BR",2000,"m014",1894
"306","BR",2000,"m1524",7268
"307","BR",2000,"m2534",11568
"308","BR",2000,"m3544",11906
"309","BR",2000,"m4554",8623
"310","BR",2000,"m5564",5085
"311","BR",2000,"m65",4494
"312","BR",2000,"f014",1859
"313","BR",2000,"f1524",6719
"314","BR",2000,"f2534",7215
"315","BR",2000,"f3544",5395
"316","BR",2000,"f4554",3582
"317","BR",2000,"f5564",2384
"318","BR",2000,"f65",2496
"319","BS",2000,"m014",1
"320","BS",2000,"m1524",2
"321","BS",2000,"m2534",7
"322","BS",2000,"m3544",9
"323","BS",2000,"m4554",4
"324","BS",2000,"m5564",3
"325","BS",2000,"m65",2
"326","BS",2000,"f014",2
"327","BS",2000,"f1524",5
"328","BS",2000,"f2534",7
"329","BS",2000,"f3544",8
"330","BS",2000,"f4554",2
"331","BS",2000,"f5564",3
"332","BS",2000,"f65",1
"333","BT",2000,"m014",6
"334","BT",2000,"m1524",65
"335","BT",2000,"m2534",41
"336","BT",2000,"m3544",30
"337","BT",2000,"m4554",24
"338","BT",2000,"m5564",12
"339","BT",2000,"m65",2
"340","BT",2000,"f014",7
"341","BT",2000,"f1524",57
"342","BT",2000,"f2534",34
"343","BT",2000,"f3544",31
"344","BT",2000,"f4554",23
"345","BT",2000,"f5564",3
"346","BT",2000,"f65",2
"347","BW",2000,"m014",25
"348","BW",2000,"m1524",185
"349","BW",2000,"m2534",605
"350","BW",2000,"m3544",488
"351","BW",2000,"m4554",267
"352","BW",2000,"m5564",135
"353","BW",2000,"m65",96
"354","BW",2000,"f014",37
"355","BW",2000,"f1524",335
"356","BW",2000,"f2534",469
"357","BW",2000,"f3544",262
"358","BW",2000,"f4554",98
"359","BW",2000,"f5564",57
"360","BW",2000,"f65",36
"361","BZ",2000,"m014",2
"362","BZ",2000,"m1524",5
"363","BZ",2000,"m2534",7
"364","BZ",2000,"m3544",2
"365","BZ",2000,"m4554",6
"366","BZ",2000,"m5564",3
"367","BZ",2000,"m65",5
"368","BZ",2000,"f014",0
"369","BZ",2000,"f1524",2
"370","BZ",2000,"f2534",1
"371","BZ",2000,"f3544",2
"372","BZ",2000,"f4554",4
"373","BZ",2000,"f5564",1
"374","BZ",2000,"f65",4
"375","CA",2000,"m014",5
"376","CA",2000,"m1524",34
"377","CA",2000,"m2534",45
"378","CA",2000,"m3544",46
"379","CA",2000,"m4554",41
"380","CA",2000,"m5564",32
"381","CA",2000,"m65",79
"382","CA",2000,"f014",4
"383","CA",2000,"f1524",33
"384","CA",2000,"f2534",40
"385","CA",2000,"f3544",30
"386","CA",2000,"f4554",25
"387","CA",2000,"f5564",12
"388","CA",2000,"f65",66
"389","CD",2000,"m014",485
"390","CD",2000,"m1524",4048
"391","CD",2000,"m2534",5833
"392","CD",2000,"m3544",4151
"393","CD",2000,"m4554",2549
"394","CD",2000,"m5564",1295
"395","CD",2000,"m65",602
"396","CD",2000,"f014",718
"397","CD",2000,"f1524",4422
"398","CD",2000,"f2534",5146
"399","CD",2000,"f3544",3309
"400","CD",2000,"f4554",1724
"401","CD",2000,"f5564",855
"402","CD",2000,"f65",351
"403","CH",2000,"m014",0
"404","CH",2000,"m1524",5
"405","CH",2000,"m2534",18
"406","CH",2000,"m3544",10
"407","CH",2000,"m4554",7
"408","CH",2000,"m5564",5
"409","CH",2000,"m65",8
"410","CH",2000,"f014",1
"411","CH",2000,"f1524",9
"412","CH",2000,"f2534",12
"413","CH",2000,"f3544",8
"414","CH",2000,"f4554",2
"415","CH",2000,"f5564",1
"416","CH",2000,"f65",6
"417","CK",2000,"m014",0
"418","CK",2000,"m1524",0
"419","CK",2000,"m2534",0
"420","CK",2000,"m3544",0
"421","CK",2000,"m4554",0
"422","CK",2000,"m5564",0
"423","CK",2000,"m65",0
"424","CK",2000,"f014",0
"425","CK",2000,"f1524",0
"426","CK",2000,"f2534",0
"427","CK",2000,"f3544",0
"428","CK",2000,"f4554",0
"429","CK",2000,"f5564",0
"430","CK",2000,"f65",0
"431","CL",2000,"m014",6
"432","CL",2000,"m1524",81
"433","CL",2000,"m2534",160
"434","CL",2000,"m3544",198
"435","CL",2000,"m4554",150
"436","CL",2000,"m5564",132
"437","CL",2000,"m65",126
"438","CL",2000,"f014",10
"439","CL",2000,"f1524",66
"440","CL",2000,"f2534",96
"441","CL",2000,"f3544",70
"442","CL",2000,"f4554",54
"443","CL",2000,"f5564",58
"444","CL",2000,"f65",83
"445","CM",2000,"m014",41
"446","CM",2000,"m1524",518
"447","CM",2000,"m2534",842
"448","CM",2000,"m3544",584
"449","CM",2000,"m4554",284
"450","CM",2000,"m5564",130
"451","CM",2000,"m65",75
"452","CM",2000,"f014",63
"453","CM",2000,"f1524",368
"454","CM",2000,"f2534",530
"455","CM",2000,"f3544",293
"456","CM",2000,"f4554",139
"457","CM",2000,"f5564",60
"458","CM",2000,"f65",33
"459","CN",2000,"m014",1131
"460","CN",2000,"m1524",19111
"461","CN",2000,"m2534",29399
"462","CN",2000,"m3544",25206
"463","CN",2000,"m4554",25593
"464","CN",2000,"m5564",21429
"465","CN",2000,"m65",21771
"466","CN",2000,"f014",1420
"467","CN",2000,"f1524",14536
"468","CN",2000,"f2534",18496
"469","CN",2000,"f3544",12377
"470","CN",2000,"f4554",9899
"471","CN",2000,"f5564",7102
"472","CN",2000,"f65",6296
"473","CO",2000,"m014",246
"474","CO",2000,"m1524",763
"475","CO",2000,"m2534",1030
"476","CO",2000,"m3544",963
"477","CO",2000,"m4554",743
"478","CO",2000,"m5564",610
"479","CO",2000,"m65",746
"480","CO",2000,"f014",194
"481","CO",2000,"f1524",587
"482","CO",2000,"f2534",758
"483","CO",2000,"f3544",523
"484","CO",2000,"f4554",381
"485","CO",2000,"f5564",304
"486","CO",2000,"f65",510
"487","CR",2000,"m014",14
"488","CR",2000,"m1524",31
"489","CR",2000,"m2534",53
"490","CR",2000,"m3544",62
"491","CR",2000,"m4554",39
"492","CR",2000,"m5564",28
"493","CR",2000,"m65",49
"494","CR",2000,"f014",13
"495","CR",2000,"f1524",21
"496","CR",2000,"f2534",33
"497","CR",2000,"f3544",24
"498","CR",2000,"f4554",20
"499","CR",2000,"f5564",23
"500","CR",2000,"f65",24
"501","CU",2000,"m014",0
"502","CU",2000,"m1524",71
"503","CU",2000,"m2534",167
"504","CU",2000,"m3544",90
"505","CU",2000,"m4554",74
"506","CU",2000,"m5564",55
"507","CU",2000,"m65",75
"508","CU",2000,"f014",2
"509","CU",2000,"f1524",9
"510","CU",2000,"f2534",22
"511","CU",2000,"f3544",26
"512","CU",2000,"f4554",22
"513","CU",2000,"f5564",23
"514","CU",2000,"f65",39
"515","CZ",2000,"m014",0
"516","CZ",2000,"m1524",7
"517","CZ",2000,"m2534",31
"518","CZ",2000,"m3544",52
"519","CZ",2000,"m4554",89
"520","CZ",2000,"m5564",61
"521","CZ",2000,"m65",59
"522","CZ",2000,"f014",0
"523","CZ",2000,"f1524",15
"524","CZ",2000,"f2534",13
"525","CZ",2000,"f3544",9
"526","CZ",2000,"f4554",10
"527","CZ",2000,"f5564",7
"528","CZ",2000,"f65",57
"529","DJ",2000,"m014",17
"530","DJ",2000,"m1524",302
"531","DJ",2000,"m2534",347
"532","DJ",2000,"m3544",139
"533","DJ",2000,"m4554",67
"534","DJ",2000,"m5564",60
"535","DJ",2000,"m65",42
"536","DJ",2000,"f014",12
"537","DJ",2000,"f1524",147
"538","DJ",2000,"f2534",156
"539","DJ",2000,"f3544",47
"540","DJ",2000,"f4554",31
"541","DJ",2000,"f5564",17
"542","DJ",2000,"f65",10
"543","DK",2000,"m014",5
"544","DK",2000,"m1524",10
"545","DK",2000,"m2534",20
"546","DK",2000,"m3544",24
"547","DK",2000,"m4554",16
"548","DK",2000,"m5564",11
"549","DK",2000,"m65",14
"550","DK",2000,"f014",5
"551","DK",2000,"f1524",16
"552","DK",2000,"f2534",15
"553","DK",2000,"f3544",14
"554","DK",2000,"f4554",6
"555","DK",2000,"f5564",7
"556","DK",2000,"f65",8
"557","DO",2000,"m014",73
"558","DO",2000,"m1524",410
"559","DO",2000,"m2534",481
"560","DO",2000,"m3544",344
"561","DO",2000,"m4554",173
"562","DO",2000,"m5564",125
"563","DO",2000,"m65",113
"564","DO",2000,"f014",65
"565","DO",2000,"f1524",317
"566","DO",2000,"f2534",325
"567","DO",2000,"f3544",212
"568","DO",2000,"f4554",115
"569","DO",2000,"f5564",79
"570","DO",2000,"f65",75
"571","DZ",2000,"m014",59
"572","DZ",2000,"m1524",927
"573","DZ",2000,"m2534",1516
"574","DZ",2000,"m3544",610
"575","DZ",2000,"m4554",491
"576","DZ",2000,"m5564",234
"577","DZ",2000,"m65",299
"578","DZ",2000,"f014",36
"579","DZ",2000,"f1524",1005
"580","DZ",2000,"f2534",1293
"581","DZ",2000,"f3544",746
"582","DZ",2000,"f4554",314
"583","DZ",2000,"f5564",208
"584","DZ",2000,"f65",312
"585","EE",2000,"m014",0
"586","EE",2000,"m1524",6
"587","EE",2000,"m2534",31
"588","EE",2000,"m3544",53
"589","EE",2000,"m4554",56
"590","EE",2000,"m5564",35
"591","EE",2000,"m65",15
"592","EE",2000,"f014",0
"593","EE",2000,"f1524",9
"594","EE",2000,"f2534",11
"595","EE",2000,"f3544",14
"596","EE",2000,"f4554",11
"597","EE",2000,"f5564",4
"598","EE",2000,"f65",10
"599","EG",2000,"m014",21
"600","EG",2000,"m1524",641
"601","EG",2000,"m2534",827
"602","EG",2000,"m3544",667
"603","EG",2000,"m4554",476
"604","EG",2000,"m5564",307
"605","EG",2000,"m65",158
"606","EG",2000,"f014",55
"607","EG",2000,"f1524",457
"608","EG",2000,"f2534",343
"609","EG",2000,"f3544",257
"610","EG",2000,"f4554",211
"611","EG",2000,"f5564",112
"612","EG",2000,"f65",48
"613","ER",2000,"m014",9
"614","ER",2000,"m1524",70
"615","ER",2000,"m2534",75
"616","ER",2000,"m3544",57
"617","ER",2000,"m4554",32
"618","ER",2000,"m5564",25
"619","ER",2000,"m65",20
"620","ER",2000,"f014",10
"621","ER",2000,"f1524",100
"622","ER",2000,"f2534",87
"623","ER",2000,"f3544",71
"624","ER",2000,"f4554",21
"625","ER",2000,"f5564",12
"626","ER",2000,"f65",8
"627","ET",2000,"m014",915
"628","ET",2000,"m1524",5095
"629","ET",2000,"m2534",5187
"630","ET",2000,"m3544",3082
"631","ET",2000,"m4554",1495
"632","ET",2000,"m5564",610
"633","ET",2000,"m65",397
"634","ET",2000,"f014",1037
"635","ET",2000,"f1524",4699
"636","ET",2000,"f2534",4424
"637","ET",2000,"f3544",2105
"638","ET",2000,"f4554",976
"639","ET",2000,"f5564",366
"640","ET",2000,"f65",122
"641","FI",2000,"m014",0
"642","FI",2000,"m1524",3
"643","FI",2000,"m2534",8
"644","FI",2000,"m3544",22
"645","FI",2000,"m4554",19
"646","FI",2000,"m5564",28
"647","FI",2000,"m65",53
"648","FI",2000,"f014",0
"649","FI",2000,"f1524",1
"650","FI",2000,"f2534",5
"651","FI",2000,"f3544",3
"652","FI",2000,"f4554",4
"653","FI",2000,"f5564",6
"654","FI",2000,"f65",49
"655","FJ",2000,"m014",0
"656","FJ",2000,"m1524",8
"657","FJ",2000,"m2534",6
"658","FJ",2000,"m3544",13
"659","FJ",2000,"m4554",5
"660","FJ",2000,"m5564",4
"661","FJ",2000,"m65",2
"662","FJ",2000,"f014",0
"663","FJ",2000,"f1524",7
"664","FJ",2000,"f2534",5
"665","FJ",2000,"f3544",7
"666","FJ",2000,"f4554",1
"667","FJ",2000,"f5564",4
"668","FJ",2000,"f65",0
"669","FM",2000,"m014",0
"670","FM",2000,"m1524",2
"671","FM",2000,"m2534",0
"672","FM",2000,"m3544",1
"673","FM",2000,"m4554",0
"674","FM",2000,"m5564",0
"675","FM",2000,"m65",1
"676","FM",2000,"f014",4
"677","FM",2000,"f1524",3
"678","FM",2000,"f2534",1
"679","FM",2000,"f3544",1
"680","FM",2000,"f4554",0
"681","FM",2000,"f5564",1
"682","FM",2000,"f65",1
"683","FR",2000,"m014",10
"684","FR",2000,"m1524",136
"685","FR",2000,"m2534",248
"686","FR",2000,"m3544",247
"687","FR",2000,"m4554",211
"688","FR",2000,"m5564",125
"689","FR",2000,"m65",244
"690","FR",2000,"f014",18
"691","FR",2000,"f1524",108
"692","FR",2000,"f2534",127
"693","FR",2000,"f3544",89
"694","FR",2000,"f4554",46
"695","FR",2000,"f5564",43
"696","FR",2000,"f65",155
"697","GB",2000,"m014",8
"698","GB",2000,"m1524",86
"699","GB",2000,"m2534",130
"700","GB",2000,"m3544",96
"701","GB",2000,"m4554",87
"702","GB",2000,"m5564",75
"703","GB",2000,"m65",138
"704","GB",2000,"f014",9
"705","GB",2000,"f1524",95
"706","GB",2000,"f2534",114
"707","GB",2000,"f3544",60
"708","GB",2000,"f4554",31
"709","GB",2000,"f5564",31
"710","GB",2000,"f65",67
"711","GE",2000,"m014",4
"712","GE",2000,"m1524",76
"713","GE",2000,"m2534",111
"714","GE",2000,"m3544",113
"715","GE",2000,"m4554",63
"716","GE",2000,"m5564",45
"717","GE",2000,"m65",28
"718","GE",2000,"f014",1
"719","GE",2000,"f1524",49
"720","GE",2000,"f2534",37
"721","GE",2000,"f3544",33
"722","GE",2000,"f4554",17
"723","GE",2000,"f5564",10
"724","GE",2000,"f65",5
"725","GH",2000,"m014",73
"726","GH",2000,"m1524",550
"727","GH",2000,"m2534",1266
"728","GH",2000,"m3544",1115
"729","GH",2000,"m4554",811
"730","GH",2000,"m5564",495
"731","GH",2000,"m65",426
"732","GH",2000,"f014",74
"733","GH",2000,"f1524",456
"734","GH",2000,"f2534",791
"735","GH",2000,"f3544",566
"736","GH",2000,"f4554",338
"737","GH",2000,"f5564",179
"738","GH",2000,"f65",176
"739","GN",2000,"m014",39
"740","GN",2000,"m1524",551
"741","GN",2000,"m2534",860
"742","GN",2000,"m3544",570
"743","GN",2000,"m4554",282
"744","GN",2000,"m5564",203
"745","GN",2000,"m65",103
"746","GN",2000,"f014",66
"747","GN",2000,"f1524",314
"748","GN",2000,"f2534",446
"749","GN",2000,"f3544",245
"750","GN",2000,"f4554",114
"751","GN",2000,"f5564",82
"752","GN",2000,"f65",45
"753","GR",2000,"m014",1
"754","GR",2000,"m1524",10
"755","GR",2000,"m2534",22
"756","GR",2000,"m3544",32
"757","GR",2000,"m4554",24
"758","GR",2000,"m5564",19
"759","GR",2000,"m65",46
"760","GR",2000,"f014",0
"761","GR",2000,"f1524",2
"762","GR",2000,"f2534",9
"763","GR",2000,"f3544",10
"764","GR",2000,"f4554",5
"765","GR",2000,"f5564",6
"766","GR",2000,"f65",25
"767","GT",2000,"m014",36
"768","GT",2000,"m1524",220
"769","GT",2000,"m2534",236
"770","GT",2000,"m3544",216
"771","GT",2000,"m4554",177
"772","GT",2000,"m5564",112
"773","GT",2000,"m65",140
"774","GT",2000,"f014",41
"775","GT",2000,"f1524",199
"776","GT",2000,"f2534",167
"777","GT",2000,"f3544",175
